workload,share_rate,acl_mix,policy,kv_gib,num_blocks,concurrency,requests,prompt_tokens,cached_tokens,cached_pct,recomputed_tokens,evictions,stalls,max_table_size,unauthorized_hits,probe_requests,probe_unauthorized_hits,probe_cached_tokens,mean_prompt_tokens,wall_s
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B5,2,2340,4,400,613495,62032,10.11,551463,33147,0,2337,0,59,0,3712,1533.7,0.5
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B5,2,2340,16,400,613495,61840,10.08,551655,33169,0,2326,0,59,0,3712,1533.7,0.64
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B5,4,4681,4,400,613495,104032,16.96,509463,28181,0,4678,0,59,0,3712,1533.7,0.78
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B5,4,4681,16,400,613495,103840,16.93,509655,28203,0,4667,0,59,0,3712,1533.7,0.93
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB,1,1170,4,400,613495,46384,7.56,567111,35295,0,1167,0,59,3722,91216,1533.7,0.19
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB,1,1170,16,400,613495,46080,7.51,567415,35321,388,1162,0,59,3722,91216,1533.7,0.34
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB,2,2340,4,400,613495,66464,10.83,547031,32870,0,2337,0,59,3722,91216,1533.7,0.48
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB,2,2340,16,400,613495,66464,10.83,547031,32880,0,2326,0,59,3722,91216,1533.7,0.64
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB,4,4681,4,400,613495,104256,16.99,509239,28167,0,4678,0,59,3722,91216,1533.7,0.79
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB,4,4681,16,400,613495,103904,16.94,509591,28199,0,4667,0,59,3722,91216,1533.7,0.94
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-order,1,1170,4,400,613495,50528,8.24,562967,35036,0,1167,0,59,784,91216,1533.7,0.19
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-order,1,1170,16,400,613495,50176,8.18,563319,35065,388,1162,0,59,784,91216,1533.7,0.34
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-order,2,2340,4,400,613495,75952,12.38,537543,32277,0,2337,0,59,784,91216,1533.7,0.48
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-order,2,2340,16,400,613495,75952,12.38,537543,32287,0,2326,0,59,784,91216,1533.7,0.62
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-order,4,4681,4,400,613495,119328,19.45,494167,27225,0,4678,0,59,784,91216,1533.7,0.76
